| 一级功效标签 | 二级功效标签 | 功效种子词 |
| - | - | - |
| 角质护理 | 去角质 | 促进老化角质层脱落、去角质、去除角质、温和去角质、软化角质 |
| 角质护理 | 修复角质层 | 修复角质层 |
| 美白 | 美白提亮 | 亮白肤色、均匀肤色、提亮肤色、润色效果、焕活肌肤色彩、防止皮肤暗沉泛黄 |
| 美白 | 美白功效 | 亮白、光彩、透亮、通透度 |
| 美白 | 美白祛斑 | 祛除黑色素、祛雀斑、祛黄褐斑、美白淡印、美白祛斑 |
| 美白 | 美白 | 嫩白、美白、美白嫩肤、美白提亮、美白焕亮、重现幼态美白、去关节黑 |
| 抗老 | 抗皱紧致 | 去干纹、填充抚平细纹、抚平干纹细纹、淡化干纹、淡化纹路、淡纹、减少皱纹、减少细纹、去细纹、抚平皱纹、淡化细纹皱纹、滋养肌肤淡化纹路、祛除皱纹、细纹改善 |
| 抗老 | 紧致提升 | 抗皱紧致、提拉紧致、紧实饱满、紧致、紧致下颌线、紧致有弹性、紧致苹果肌、增加弹性、弹性、弹纹 |
| 抗老 | 抗衰老 | 延缓肌肤衰老、延缓衰老、逆龄抗衰、抗氧化、抗氧抗老、抗皱、抗皱纹、抗糖化、抗老、抗衰、抗衰老、眼部抗衰、呵护双眸、提升眼周细节、面部提升 |
| 抗老 | 抗初老 | 修护抗初老、抗初老 |
| 抗氧化 | 抗氧化 | 抗污染、根治深层问题、消除自由基 |
| 焕活润泽 | 焕活润泽 | 光泽嫩肤、养肤、嫩肤、活化肌肤、润泽肌肤、润泽肤质、深层养肤、细腻皮肤、美容养肤、逆龄水光肌 |
| 舒缓修复 | 舒缓修复 | 改善紧绷、清凉舒缓、温和舒缓、缓解不适感、舒缓、舒缓恢复、修复敏感、修复敏感肌、修复敏感肌肤、修复过敏肌肤、修护干敏肌、修护敏感肌、缓解肌肤敏感 |
| 舒缓修复 | 舒缓抗敏 | 抗炎、抗菌止痒、抗过敏、舒缓敏感、舒缓过敏 |
| 舒缓修复 | 舒缓镇静 | 快速镇静、消炎镇静、镇定敏感 |
| 舒缓修复 | 舒缓修复泛红 | 修复泛红、减少泛红、改善敏感泛红、舒缓发红 |
| 保湿滋润 | 保湿滋润 | 保湿润肤、保湿舒缓、多层滋润、强效保湿、柔润滋养、水润保湿、滋养补充水分、滋润、舒缓保湿、超级保湿 |
| 保湿滋润 | 保湿补水 | 保湿锁水、强效锁水、深度补水、清爽补水、滋盈补水、补水、补水能力超强、补水锁水 |
| 保湿滋润 | 滋润保湿 | 嫩滑不拔干、持久留香、柔润、柔软、水嫩、重现光滑细嫩 |
| 祛痘修复 | 祛痘修复 | 修复痘痘肌、修护痘痘、去闭口粉刺、处理草莓疙瘩、抗痘、淡化痘印、祛痘、祛粉刺、缓解痘痘红肿 |
| 毛孔管理 | 去黑头 | 去黑头、温和去黑头、祛黑头 |
| 毛孔管理 | 毛孔管理 | 去闭口、抑菌除螨、收缩毛孔、改善毛孔粗大、清洁毛孔、疏通毛孔、细腻毛孔、细致毛孔、缩毛孔、解决毛孔粗大 |
| 防晒 | 防晒护肤 | 30倍防晒、抑制紫外线伤害、舒缓晒中肌肤、选择性吸收有益光线、防晒、防晒保湿、隔离有害阳光、高防晒 |
| 修复 | 修复功效 | 修复受损肌肤、修复损伤肌肤、修复肌肤、修护皮脂膜、修护肌肤屏障、晒后修复、深渗肌底、疤痕修复、长效保湿修复 |
| 修复 | 修护功效 | 修护、修护爆皮、去死皮 |
| 修复 | 修复屏障 | 修复、修复受损屏障、修护屏障、维稳修护、闭口修复 |
| 清洁 | 清洁功效 | 卓效清洁、水润匀净、洁净肌肤、深层清洁、清洁、清洁力、清洁皮肤、清洁肌肤、清除肌肤污垢、温和清洁、去杂质 |
| 清洁 | 卸妆功效 | 去淡妆、快速融妆、温和卸除顽固彩妆、温和去除毛孔油脂和彩妆、重卸妆力 |
| 控油 | 控油平衡 | 水油平衡、溶解油脂、调节水油、调节水油平衡 |
| 控油 | 控油 | 去油、控油、控油清洁、控油滋润、清爽控油 |
| 提亮 | 提亮肤色 | 抗氧提亮、提亮、提升收紧、提拉、焕亮、化解暗沉、提取的功效关键词：修护暗沉、改善暗沉、淡化暗沉、去黄提亮、去黄气、扫除黄气、提亮去黄、祛黄 |
| 皮肤屏障 | 增强皮肤屏障功能 | 提高免疫力、提高皮肤抵抗力、提高皮肤耐受性、适合干皮 |
| 皮肤调理 | 促进循环与调理 | 促进血液循环、刺激免疫力、加倍滋养、加速体内循环、调理脾胃 |
| 皮肤调理 | 皮肤调理与修复 | 减少皮肤油脂分泌、增强肌肤弹性、平衡肌肤ph值、恢复健康润泽状态、改善皮肤暗沉、改善皮肤暗沉粗糙、改善肌肤干燥、改善面部循环、改善黑眼圈、舒缓肌肤 |
| 温和护理 | 温和护理 | 无、无刺激感 |
| 温和护理 | 温和性 | 温和不刺激、温和低刺激 |
| 吸收性 | 吸收性 | 好吸收 |
| 消肿 | 消肿功效 | 去水肿、去湿气、去除水肿、消水肿 |
